,id,crew_job,crew_name
0,862,Director,John Lasseter
1,8844,Director,Joe Johnston
2,15602,Director,Howard Deutch
3,31357,Director,Forest Whitaker
4,11862,Director,Charles Shyer
5,949,Director,Michael Mann
6,11860,Director,Sydney Pollack
7,45325,Director,Peter Hewitt
8,9091,Director,Peter Hyams
9,710,Director,Martin Campbell
10,9087,Director,Rob Reiner
11,12110,Director,Mel Brooks
12,21032,Director,Simon Wells
13,10858,Director,Oliver Stone
14,1408,Director,Renny Harlin
15,524,Director,Martin Scorsese
16,4584,Director,Ang Lee
17,5,Director,Allison Anders
17,5,Director,Alexandre Rockwell
17,5,Director,Robert Rodriguez
17,5,Director,Quentin Tarantino
18,9273,Director,Steve Oedekerk
19,11517,Director,Joseph Ruben
20,8012,Director,Barry Sonnenfeld
21,1710,Director,Jon Amiel
22,9691,Director,Richard Donner
23,12665,Director,Victor Salva
24,451,Director,Mike Figgis
25,16420,Director,Oliver Parker
26,9263,Director,Lesli Linka Glatter
27,17015,Director,Roger Michell
28,902,Director,Jean-Pierre Jeunet
28,902,Director,Marc Caro
29,37557,Director,Zhang Yimou
30,9909,Director,John N. Smith
31,63,Director,Terry Gilliam
32,78802,Director,Jean-Jacques Annaud
33,9598,Director,Chris Noonan
34,47018,Director,Christopher Hampton
35,687,Director,Tim Robbins
36,139405,Director,Stephen Low
37,33689,Director,Andy Tennant
38,9603,Director,Amy Heckerling
39,34615,Director,Darrell James Roodt
40,31174,Director,Richard Loncraine
41,11443,Director,Albert Hughes
41,11443,Director,Allen Hughes
42,35196,Director,Michael Hoffman
43,9312,Director,Paul W.S. Anderson
44,577,Director,Gus Van Sant
45,11861,Director,Jocelyn Moorhouse
46,807,Director,David Fincher
47,10530,Director,Mike Gabriel
47,10530,Director,Eric Goldberg
48,8391,Director,Patricia Rozema
49,629,Director,Bryan Singer
50,117164,Director,Richard W. Munchkin
51,11448,Director,Woody Allen
52,49133,Director,Gianni Amelio
53,26441,Director,Holly Goldberg Sloan
54,97406,Director,Ulu Grosbard
55,124057,Director,Robert Tinnell
56,9089,Director,Jodie Foster
57,11010,Director,Michael Radford
58,99040,Director,Robert Lepage
59,11359,Director,Frank Oz
60,17182,Director,John Schlesinger
61,2054,Director,Stephen Herek
62,10607,Director,Paris Barclay
63,19760,Director,Bill Bennett
64,9536,Director,Jason Bloom
65,11525,Director,Farhad Mann
66,40628,Director,James Foley
67,4482,Director,Josiane Balasko
68,10634,Director,F. Gary Gray
69,755,Director,Robert Rodriguez
70,11859,Director,Andrew Sipes
71,28387,Director,Noah Baumbach
72,48750,Director,Claude Lelouch
73,20927,Director,Michael Goldenberg
74,36929,Director,Steve Miner
75,9102,Director,Christian Duguay
76,124626,Director,Susanne Ofteringer
77,27526,Director,Sean Penn
78,9623,Director,Brian Gibson
79,46785,Director,Jafar Panahi
80,400,Director,Gary Fleder
81,880,Director,Marleen Gorris
82,146599,Director,Tim Reid
83,188588,Director,Henry Jaglom
84,8447,Director,Philip Haas
85,10534,Director,Ridley Scott
86,17414,Director,Ken Kwapis
87,13997,Director,Penelope Spheeris
88,2086,Director,John Badham
89,61548,Director,John Duigan
90,9095,Director,Stephen Frears
91,12158,Director,Wes Craven
92,9283,Director,Ted Demme
